field_id,title,matched_phrase,replaced_title,candidate_acronym,cui,sab,tty,sty,score,rank,chosen,has_conflict,domain
914,Duration of vigorous activity,activity,D. of vigorous CA,IA,,ADAM,META,,90,4,False,False,medical
914,Duration of vigorous activity,activity,D. of vigorous CA,UA,,ADAM,META,,90,5,False,False,medical
943,Frequency of stair climbing in last 4 weeks,frequency,F1 of stair climbing in last 4 weeks,F1,,ADAM,META,,90,1,True,False,medical
943,Frequency of stair climbing in last 4 weeks,frequency,F1 of stair climbing in last 4 weeks,FP,,ADAM,META,,90,2,False,False,medical
943,Frequency of stair climbing in last 4 weeks,frequency,F1 of stair climbing in last 4 weeks,TF,,ADAM,META,,90,3,False,False,medical
971,Frequency of walking for pleasure in last 4 weeks,frequency,F1 of walking for pleasure in last 4 weeks,F1,,ADAM,META,,90,1,True,False,medical
971,Frequency of walking for pleasure in last 4 weeks,frequency,F1 of walking for pleasure in last 4 weeks,FP,,ADAM,META,,90,2,False,False,medical
971,Frequency of walking for pleasure in last 4 weeks,frequency,F1 of walking for pleasure in last 4 weeks,TF,,ADAM,META,,90,3,False,False,medical
981,Duration walking for pleasure,duration,D. walking for pleasure,D.,,UMLS,META,,100,1,True,False,medical
981,Duration walking for pleasure,duration,D. walking for pleasure,AD,,ADAM,META,,90,2,False,False,medical
981,Duration walking for pleasure,duration,D. walking for pleasure,CD,,ADAM,META,,90,3,False,False,medical
981,Duration walking for pleasure,duration,D. walking for pleasure,ED,,ADAM,META,,90,4,False,False,medical
981,Duration walking for pleasure,duration,D. walking for pleasure,PD,,ADAM,META,,90,5,False,False,medical
991,Frequency of strenuous sports in last 4 weeks,frequency,F1 of strenuous sports in last 4 weeks,F1,,ADAM,META,,90,1,True,False,medical
991,Frequency of strenuous sports in last 4 weeks,frequency,F1 of strenuous sports in last 4 weeks,FP,,ADAM,META,,90,2,False,False,medical
991,Frequency of strenuous sports in last 4 weeks,frequency,F1 of strenuous sports in last 4 weeks,TF,,ADAM,META,,90,3,False,False,medical
1001,Duration of strenuous sports,duration,D. of strenuous sports,D.,,UMLS,META,,100,1,True,False,medical
1001,Duration of strenuous sports,duration,D. of strenuous sports,AD,,ADAM,META,,90,2,False,False,medical
1001,Duration of strenuous sports,duration,D. of strenuous sports,CD,,ADAM,META,,90,3,False,False,medical
1001,Duration of strenuous sports,duration,D. of strenuous sports,ED,,ADAM,META,,90,4,False,False,medical
1001,Duration of strenuous sports,duration,D. of strenuous sports,PD,,ADAM,META,,90,5,False,False,medical
1011,Frequency of light DIY in last 4 weeks,frequency,F1 of light DIY in last 4 weeks,F1,,ADAM,META,,90,1,True,False,medical
1011,Frequency of light DIY in last 4 weeks,frequency,F1 of light DIY in last 4 weeks,FP,,ADAM,META,,90,2,False,False,medical
1011,Frequency of light DIY in last 4 weeks,frequency,F1 of light DIY in last 4 weeks,TF,,ADAM,META,,90,3,False,False,medical
1021,Duration of light DIY,duration,D. of light DIY,D.,,UMLS,META,,100,1,True,False,medical
1021,Duration of light DIY,duration,D. of light DIY,AD,,ADAM,META,,90,2,False,False,medical
1021,Duration of light DIY,duration,D. of light DIY,CD,,ADAM,META,,90,3,False,False,medical
1021,Duration of light DIY,duration,D. of light DIY,ED,,ADAM,META,,90,4,False,False,medical
1021,Duration of light DIY,duration,D. of light DIY,PD,,ADAM,META,,90,5,False,False,medical
1031,Frequency of friend/family visits,frequency,F1 of friend/family visits,F1,,ADAM,META,,90,1,True,False,medical
1031,Frequency of friend/family visits,frequency,F1 of friend/family visits,FP,,ADAM,META,,90,2,False,False,medical
1031,Frequency of friend/family visits,frequency,F1 of friend/family visits,TF,,ADAM,META,,90,3,False,False,medical
1070,Time spent watching television (TV),television,Time spent watching TV (TV),TV,,UMLS,META,,100,1,True,False,medical
1120,Weekly usage of mobile phone in last 3 months,3 months,Weekly usage of mobile phone in last T3,T3,,ADAM,META,,90,1,True,False,medical
1160,Sleep duration,duration,Sleep D.,D.,,UMLS,META,,100,1,True,False,medical
1160,Sleep duration,duration,Sleep D.,AD,,ADAM,META,,90,2,False,False,medical
1160,Sleep duration,duration,Sleep D.,CD,,ADAM,META,,90,3,False,False,medical
1160,Sleep duration,duration,Sleep D.,ED,,ADAM,META,,90,4,False,False,medical
1160,Sleep duration,duration,Sleep D.,PD,,ADAM,META,,90,5,False,False,medical
1170,Getting up in morning,morning,Getting up in AM,AM,,ADAM,META,,90,1,True,False,medical
1180,Morning/evening person (chronotype),morning,AM/evening person (chronotype),AM,,ADAM,META,,90,1,True,False,medical
1239,Current tobacco smoking,current,IM tobacco smoking,IM,,ADAM,META,,90,1,True,False,medical
1239,Current tobacco smoking,current,IM tobacco smoking,IL,,ADAM,META,,90,2,False,False,medical
1239,Current tobacco smoking,current,IM tobacco smoking,IR,,ADAM,META,,90,3,False,False,medical
1269,Exposure to tobacco smoke at home,exposure,SE to tobacco smoke at home,SE,,ADAM,META,,90,1,True,False,medical
1269,Exposure to tobacco smoke at home,tobacco smoke,SE to TS at home,TS,,UMLS,META,,100,1,True,False,medical
1279,Exposure to tobacco smoke outside home,exposure,SE to tobacco smoke outside home,SE,,ADAM,META,,90,1,True,False,medical
1279,Exposure to tobacco smoke outside home,tobacco smoke,SE to TS outside home,TS,,UMLS,META,,100,1,True,False,medical
1518,Hot drink temperature,temperature,Hot drink TPR,TPR,,UMLS,META,,100,1,True,False,medical
1518,Hot drink temperature,temperature,Hot drink TPR,ET,,ADAM,META,,90,2,False,False,medical
1518,Hot drink temperature,temperature,Hot drink TPR,TE,,ADAM,META,,90,3,False,False,medical
1518,Hot drink temperature,temperature,Hot drink TPR,TF,,ADAM,META,,90,4,False,False,medical
1518,Hot drink temperature,temperature,Hot drink TPR,TI,,ADAM,META,,90,5,False,False,medical
1528,Water intake,water intake,WI,WI,,UMLS,META,,100,1,True,False,medical
1548,Variation in diet,variation,R2 in diet,R2,,ADAM,META,,90,1,True,False,medical
1558,Alcohol intake frequency.,alcohol,PA intake frequency.,PA,,ADAM,META,,90,1,True,False,medical
1558,Alcohol intake frequency.,alcohol,PA intake frequency.,CA,,ADAM,META,,90,2,False,False,medical
1558,Alcohol intake frequency.,frequency,PA intake F1.,F1,,ADAM,META,,90,1,True,False,medical
1558,Alcohol intake frequency.,frequency,PA intake F1.,FP,,ADAM,META,,90,2,False,False,medical
1558,Alcohol intake frequency.,frequency,PA intake F1.,TF,,ADAM,META,,90,3,False,False,medical
1568,Average weekly red wine intake,average,AV weekly red wine intake,AV,,UMLS,META,,100,1,True,False,medical
1568,Average weekly red wine intake,red wine,AV weekly RW intake,RW,,UMLS,META,,100,1,True,False,medical
1578,Average weekly champagne plus white wine intake,average,AV weekly champagne plus white wine intake,AV,,UMLS,META,,100,1,True,False,medical
1588,Average weekly beer plus cider intake,average,AV weekly beer plus cider intake,AV,,UMLS,META,,100,1,True,False,medical
1598,Average weekly spirits intake,average,AV weekly spirits intake,AV,,UMLS,META,,100,1,True,False,medical
1608,Average weekly fortified wine intake,average,AV weekly fortified wine intake,AV,,UMLS,META,,100,1,True,False,medical
1618,Alcohol usually taken with meals,alcohol,PA usually taken with meals,PA,,ADAM,META,,90,1,True,False,medical
1618,Alcohol usually taken with meals,alcohol,PA usually taken with meals,CA,,ADAM,META,,90,2,False,False,medical
1628,Alcohol intake versus 10 years previously,alcohol,PA intake versus 10 years previously,PA,,ADAM,META,,90,1,True,False,medical
1628,Alcohol intake versus 10 years previously,alcohol,PA intake versus 10 years previously,CA,,ADAM,META,,90,2,False,False,medical
1747,"Hair colour (natural, before greying)",natural,"Hair colour (NK, before greying)",NK,,ADAM,META,,90,1,True,False,medical
1950,Sensitivity / hurt feelings,sensitivity,SE / hurt feelings,SE,,UMLS,META,,100,1,True,False,medical
1950,Sensitivity / hurt feelings,sensitivity,SE / hurt feelings,SN,,UMLS,META,,100,2,False,False,medical
1950,Sensitivity / hurt feelings,sensitivity,SE / hurt feelings,SEN,,UMLS,META,,100,3,False,False,medical
1950,Sensitivity / hurt feelings,sensitivity,SE / hurt feelings,DS,,ADAM,META,,90,4,False,False,medical
1950,Sensitivity / hurt feelings,sensitivity,SE / hurt feelings,PS,,ADAM,META,,90,5,False,False,medical
2050,Frequency of depressed mood in last 2 weeks,frequency,F1 of depressed mood in last 2 weeks,F1,,ADAM,META,,90,1,True,False,medical
2050,Frequency of depressed mood in last 2 weeks,frequency,F1 of depressed mood in last 2 weeks,FP,,ADAM,META,,90,2,False,False,medical
2050,Frequency of depressed mood in last 2 weeks,frequency,F1 of depressed mood in last 2 weeks,TF,,ADAM,META,,90,3,False,False,medical
2060,Frequency of unenthusiasm / disinterest in last 2 weeks,frequency,F1 of unenthusiasm / disinterest in last 2 weeks,F1,,ADAM,META,,90,1,True,False,medical
2060,Frequency of unenthusiasm / disinterest in last 2 weeks,frequency,F1 of unenthusiasm / disinterest in last 2 weeks,FP,,ADAM,META,,90,2,False,False,medical
2060,Frequency of unenthusiasm / disinterest in last 2 weeks,frequency,F1 of unenthusiasm / disinterest in last 2 weeks,TF,,ADAM,META,,90,3,False,False,medical
2070,Frequency of tenseness / restlessness in last 2 weeks,frequency,F1 of tenseness / restlessness in last 2 weeks,F1,,ADAM,META,,90,1,True,False,medical
2070,Frequency of tenseness / restlessness in last 2 weeks,frequency,F1 of tenseness / restlessness in last 2 weeks,FP,,ADAM,META,,90,2,False,False,medical
2070,Frequency of tenseness / restlessness in last 2 weeks,frequency,F1 of tenseness / restlessness in last 2 weeks,TF,,ADAM,META,,90,3,False,False,medical
2080,Frequency of tiredness / lethargy in last 2 weeks,frequency,F1 of tiredness / lethargy in last 2 weeks,F1,,ADAM,META,,90,1,True,False,medical
2080,Frequency of tiredness / lethargy in last 2 weeks,frequency,F1 of tiredness / lethargy in last 2 weeks,FP,,ADAM,META,,90,2,False,False,medical
2080,Frequency of tiredness / lethargy in last 2 weeks,frequency,F1 of tiredness / lethargy in last 2 weeks,TF,,ADAM,META,,90,3,False,False,medical
2090,"Seen doctor (GP) for nerves, anxiety, tension or depression",depression,"Seen doctor (GP) for nerves, anxiety, tension or PD",PD,,ADAM,META,,90,1,True,False,medical
2100,"Seen a psychiatrist for nerves, anxiety, tension or depression",depression,"Seen a psychiatrist for nerves, anxiety, tension or PD",PD,,ADAM,META,,90,1,True,False,medical
2129,Answered sexual history questions,history,Answered sexual HX questions,HX,,UMLS,META,,100,1,True,False,medical
2129,Answered sexual history questions,history,Answered sexual HX questions,PH,,ADAM,META,,90,2,False,False,medical
2139,Age first had sexual intercourse,intercourse,Age first had sexual IC,IC,,Vanderbilt Clinic Notes,META,,80,1,True,False,medical
2159,Ever had same-sex intercourse,same sex,Ever had SS intercourse,SS,,UMLS,META,,100,1,True,False,medical
2159,Ever had same-sex intercourse,intercourse,Ever had SS IC,IC,,Vanderbilt Clinic Notes,META,,80,1,True,False,medical
2207,Wears glasses or contact lenses,contact lenses,Wears glasses or CLS,CLS,,ADAM,META,,90,1,True,False,medical
2207,Wears glasses or contact lenses,contact lenses,Wears glasses or CLS,CL,,ADAM,META,,90,2,False,False,medical
2217,Age started wearing glasses or contact lenses,contact lenses,Age started wearing glasses or CLS,CLS,,ADAM,META,,90,1,True,False,medical
2217,Age started wearing glasses or contact lenses,contact lenses,Age started wearing glasses or CLS,CL,,ADAM,META,,90,2,False,False,medical
2257,Hearing difficulty/problems with background noise,background,Hearing difficulty/problems with BG noise,BG,,ADAM,META,,90,1,True,False,medical
2277,Frequency of solarium/sunlamp use,frequency,F1 of solarium/sunlamp use,F1,,ADAM,META,,90,1,True,False,medical
2277,Frequency of solarium/sunlamp use,frequency,F1 of solarium/sunlamp use,FP,,ADAM,META,,90,2,False,False,medical
2277,Frequency of solarium/sunlamp use,frequency,F1 of solarium/sunlamp use,TF,,ADAM,META,,90,3,False,False,medical
2335,Chest pain or discomfort,chest pain,CP or discomfort,CP,,UMLS,META,,100,1,True,False,medical
2365,Ever had prostate specific antigen (PSA) test,prostate specific antigen,Ever had PSA (PSA) test,PSA,,UMLS,META,,100,1,True,False,medical
2395,Hair/balding pattern,pattern,Hair/balding DP,DP,,ADAM,META,,90,1,True,False,medical
2492,Taking other prescription medications,prescription,Taking other RX medications,RX,,UMLS,META,,100,1,True,False,medical
2492,Taking other prescription medications,prescription,Taking other RX medications,PS,,UMLS,META,,100,2,False,False,medical
2492,Taking other prescription medications,prescription,Taking other RX medications,PS.,,UMLS,META,,100,3,False,False,medical
2624,Frequency of heavy DIY in last 4 weeks,frequency,F1 of heavy DIY in last 4 weeks,F1,,ADAM,META,,90,1,True,False,medical
2624,Frequency of heavy DIY in last 4 weeks,frequency,F1 of heavy DIY in last 4 weeks,FP,,ADAM,META,,90,2,False,False,medical
2624,Frequency of heavy DIY in last 4 weeks,frequency,F1 of heavy DIY in last 4 weeks,TF,,ADAM,META,,90,3,False,False,medical
2634,Duration of heavy DIY,duration,D. of heavy DIY,D.,,UMLS,META,,100,1,True,False,medical
2634,Duration of heavy DIY,duration,D. of heavy DIY,AD,,ADAM,META,,90,2,False,False,medical
2634,Duration of heavy DIY,duration,D. of heavy DIY,CD,,ADAM,META,,90,3,False,False,medical
2634,Duration of heavy DIY,duration,D. of heavy DIY,ED,,ADAM,META,,90,4,False,False,medical
2634,Duration of heavy DIY,duration,D. of heavy DIY,PD,,ADAM,META,,90,5,False,False,medical
2664,Reason for reducing amount of alcohol drunk,alcohol,Reason for reducing amount of PA drunk,PA,,ADAM,META,,90,1,True,False,medical
2664,Reason for reducing amount of alcohol drunk,alcohol,Reason for reducing amount of PA drunk,CA,,ADAM,META,,90,2,False,False,medical
